CLIENT_ID,TOTAL_TRANSACCIONES,DIAS_CON_ACTIVIDAD,GASTO_PROMEDIO_DIARIO,GASTO_VARIABILIDAD,DIAS_DESDE_ULTIMA_ACTIVIDAD,SEGMENTO_ACTIVIDAD
ES182232062V,9,9,699.2444444444445,834.8029571119031,0,ACTIVO
ES182131592N,76,76,21.813157894736843,185.81951769901553,93,POCO_ACTIVO
ES182231902V,96,96,0.0,0.0,0,ACTIVO
ES182176939F,28,28,0.0,0.0,0,ACTIVO
ES182158001Q,35,35,104.34828571428572,369.57145915303613,31,MODERADO
ES182277161K,25,25,0.0,0.0,31,MODERADO
ES182414943Q,96,96,40.921875,133.29668310567104,0,ACTIVO
ES182363522W,95,95,0.0,0.0,31,MODERADO
ES182304068P,94,94,14.361702127659575,139.2418682449371,0,ACTIVO
ES182308335C,16,16,0.0,0.0,0,ACTIVO
ES182175051L,96,96,9.526458333333332,45.34001084157386,0,ACTIVO
ES182451884I,93,93,16.44268817204301,132.5806650040366,0,ACTIVO
ES182249129Q,45,45,0.0,0.0,0,ACTIVO
ES182103976B,89,89,29.912359550561796,151.02689090795653,0,ACTIVO
ES182389226L,13,13,215.35692307692307,255.6457946842537,0,ACTIVO
ES182290710A,96,96,13.387500000000001,120.53644240381587,0,ACTIVO
ES182113327R,96,96,37.954791666666665,48.999117392247975,0,ACTIVO
ES182292909K,40,40,435.54775,914.197441880561,0,ACTIVO
ES182231216W,7,7,0.0,0.0,31,MODERADO
ES182117928B,32,32,282.0678125,513.1890782392906,0,ACTIVO
ES182344010G,8,8,0.0,0.0,0,ACTIVO
ES182173788A,7,7,0.0,0.0,31,MODERADO
ES182283583W,47,47,11.48936170212766,78.76709540886306,0,ACTIVO
ES182328655H,17,17,186.16294117647058,374.159220014767,31,MODERADO
ES182405527S,93,93,17.410645161290322,121.33521181283774,93,POCO_ACTIVO
ES182295876Q,11,11,904.47,910.6713766447257,31,MODERADO
ES182207813K,5,5,0.0,0.0,0,ACTIVO
ES182221275C,93,93,16.28709677419355,114.73408313006668,31,MODERADO
ES182181839V,22,22,490.90909090909093,814.8555763996528,0,ACTIVO
ES182381487F,20,20,290.726,729.9561480513022,0,ACTIVO
ES182122867X,19,19,152.67263157894735,406.81618483375274,31,MODERADO
ES182307324L,5,5,135.46800000000002,94.92418511633377,31,MODERADO
ES182283610G,75,75,57.6,244.3072943120079,0,ACTIVO
ES182196536J,7,7,594.6414285714285,658.9163786204481,0,ACTIVO
ES182297392F,84,84,11.445714285714287,67.34461866652056,0,ACTIVO
ES182280210E,17,17,0.0,0.0,31,MODERADO
ES182345972B,16,16,0.0,0.0,0,ACTIVO
ES182335175E,96,96,90.95625,295.42473573965015,0,ACTIVO
ES182312564H,13,13,0.0,0.0,31,MODERADO
ES182272051I,15,15,0.0,0.0,31,MODERADO
ES182189909E,7,7,0.0,0.0,31,MODERADO
ES182280081V,45,45,183.93599999999998,576.7939452084174,0,ACTIVO
ES182186577M,81,81,26.666666666666668,240.0,0,ACTIVO
ES182245476M,10,10,0.0,0.0,0,ACTIVO
ES182235420X,20,20,0.0,0.0,31,MODERADO
ES182132454N,87,87,972.2002298850576,1596.4626979443817,0,ACTIVO
ES182344277W,24,24,0.0,0.0,62,MODERADO
ES182448682P,9,9,454.2266666666667,572.812655739204,0,ACTIVO
ES182293250V,47,47,330.3663829787234,647.4875504340354,0,ACTIVO
ES182189657V,7,7,0.0,0.0,31,MODERADO
ES182348510J,14,14,0.0,0.0,31,MODERADO
ES182213213B,11,11,142.36363636363637,472.16676560877784,0,ACTIVO
ES182325468W,88,88,32.27727272727273,125.36701955648658,0,ACTIVO
ES182422709A,30,30,153.14233333333334,340.13080775493273,31,MODERADO
ES182147461Y,17,17,561.9370588235295,365.9099825395022,0,ACTIVO
ES182239492Y,9,9,0.0,0.0,31,MODERADO
ES182109222V,33,33,372.91787878787875,1013.789762379131,31,MODERADO
ES182222478Q,19,19,588.2236842105264,1504.9722137568242,0,ACTIVO
ES182131097D,12,12,0.0,0.0,0,ACTIVO
ES182305249S,3,3,0.0,0.0,0,ACTIVO
ES182363479F,6,6,359.8066666666667,251.6839630700905,0,ACTIVO
ES182442820C,47,47,157.13021276595745,306.5041899954001,0,ACTIVO
ES182272413S,18,18,182.9972222222222,363.7322368705981,0,ACTIVO
ES182352575J,7,7,279.98999999999995,327.1654312423609,0,ACTIVO
ES182436558Z,13,13,438.51,538.5472339389863,62,MODERADO
ES182440493U,13,13,0.0,0.0,31,MODERADO
ES182252109D,14,14,279.83214285714286,663.9597388648776,31,MODERADO
ES182260343W,20,20,300.24,855.0860266970989,0,ACTIVO
ES182110833J,3,3,0.0,0.0,31,MODERADO
ES182343020R,33,33,0.0,0.0,31,MODERADO
ES182189539P,6,6,182.70000000000002,439.63318801018653,0,ACTIVO
ES182373555S,11,11,0.0,0.0,31,MODERADO
ES182145473H,15,15,273.96733333333333,547.6814731270966,0,ACTIVO
ES182122532H,24,24,0.0,0.0,0,ACTIVO
ES182215405Q,8,8,405.0,749.9142808157667,0,ACTIVO
ES182181728K,32,32,184.86906249999998,403.72232686435626,31,MODERADO
ES182129473R,6,6,378.375,558.627777030466,31,MODERADO
ES182258014U,20,20,0.0,0.0,31,MODERADO
ES182366205F,11,11,113.47636363636364,177.75115787373804,0,ACTIVO
ES182223963P,40,40,277.87399999999997,368.15758828147324,31,MODERADO
ES182100162C,15,15,0.0,0.0,0,ACTIVO
ES182322508L,14,14,0.0,0.0,0,ACTIVO
ES182256914E,8,8,155.0175,355.27017110724546,0,ACTIVO
ES182455479H,7,7,575.3642857142856,299.87925991733977,0,ACTIVO
ES182112694Y,9,9,22.200000000000003,66.60000000000001,0,ACTIVO
ES182325278Y,9,9,625.4711111111111,589.0477657296657,0,ACTIVO
ES182165881F,20,20,36.45,163.00935555973467,0,ACTIVO
ES182195086L,10,10,134.455,288.893656683947,31,MODERADO
ES182447570F,21,21,0.0,0.0,62,MODERADO
ES182255793N,27,27,676.5240740740742,970.072740992849,0,ACTIVO
ES182118902N,8,8,249.415,529.6814141942843,0,ACTIVO
ES182441954I,31,31,127.73903225806451,304.53720931225945,0,ACTIVO
ES182226563L,73,73,47.1945205479452,232.88102583031707,0,ACTIVO
ES182421838L,7,7,323.2928571428571,347.847753752236,0,ACTIVO
ES182377153P,33,33,233.05575757575755,373.7044654706301,0,ACTIVO
ES182370536F,11,11,0.0,0.0,31,MODERADO
ES182433571C,22,22,201.56636363636363,502.66794209019815,0,ACTIVO
ES182281360L,17,17,0.0,0.0,31,MODERADO
ES182132641J,17,17,554.9011764705882,802.4519624164611,0,ACTIVO
ES182394603E,10,10,0.0,0.0,31,MODERADO
ES182207869I,10,10,560.488,581.3540654904051,0,ACTIVO
ES182122201S,1,1,162.0,,0,ACTIVO
ES182241117L,7,7,303.01142857142855,331.5405437966108,0,ACTIVO
ES182262167H,18,18,0.0,0.0,0,ACTIVO
ES182281072F,19,19,93.19157894736841,262.6005299618744,0,ACTIVO
ES182388390V,96,96,71.7859375,172.9343031727618,0,ACTIVO
ES182451581I,88,88,16.107954545454547,151.1060077170389,0,ACTIVO
ES182444478X,40,40,10.81475,68.21546854382696,31,MODERADO
ES182397159I,9,9,0.0,0.0,31,MODERADO
ES182253789K,93,93,27.91741935483871,215.44449121123495,62,MODERADO
ES182160733H,8,8,418.63875,796.5853705560558,0,ACTIVO
ES182119863I,15,15,867.4786666666666,705.4175444359853,0,ACTIVO
ES182429333H,37,37,116.75891891891892,710.2032599497437,31,MODERADO
ES182189400K,13,13,0.0,0.0,0,ACTIVO
ES182362181V,5,5,538.938,1205.1020036577818,0,ACTIVO
ES182100338P,24,24,160.31833333333336,487.72740985876135,0,ACTIVO
ES182284529J,96,96,10.473229166666668,73.09150369653517,0,ACTIVO
ES182242959Q,91,91,9.015274725274725,61.188091912300486,62,MODERADO
ES182285527X,96,96,39.571875000000006,145.2953519763143,0,ACTIVO
ES182417558F,85,85,32.082352941176474,193.6491803288018,0,ACTIVO
ES182242472Y,36,36,97.68861111111111,182.2879218654266,0,ACTIVO
ES182383920V,94,94,30.4468085106383,178.75751684450796,0,ACTIVO
ES182270217E,7,7,0.0,0.0,31,MODERADO
ES182381841A,73,73,22.19178082191781,189.6066584577315,0,ACTIVO
ES182109433N,74,74,226.5889189189189,724.0915621027525,0,ACTIVO
ES182190977Y,73,73,0.0,0.0,31,MODERADO
ES182199292Q,45,45,169.2471111111111,590.3312612909584,62,MODERADO
ES182328961X,75,75,21.6,181.7291205152417,0,ACTIVO
ES182117198K,80,80,51.767125,246.59245006867147,0,ACTIVO
ES182311689W,79,79,168.83544303797467,365.4658576210097,0,ACTIVO
ES182428205N,96,96,189.0,347.63146365988763,0,ACTIVO
ES182249078F,95,95,11.368421052631579,110.80566202519664,31,MODERADO
ES182353125I,27,27,0.0,0.0,0,ACTIVO
ES182198988A,42,42,181.42309523809527,381.9446177864527,62,MODERADO
ES182186525H,81,81,12.752345679012347,90.27827144822287,31,MODERADO
ES182342270I,93,93,8.709677419354838,83.99308727316445,0,ACTIVO
ES182264850X,96,96,26.04375,125.60933657260725,0,ACTIVO
ES182200502M,42,42,696.2661904761906,957.1731927818788,0,ACTIVO
ES182113956A,27,27,1075.7774074074073,1536.9752832445154,0,ACTIVO
ES182191418A,78,78,25.720897435897434,98.72140341076975,0,ACTIVO
ES182222700M,37,37,280.2481081081081,733.3447406568749,0,ACTIVO
ES182450241H,93,93,0.0,0.0,0,ACTIVO
ES182220544T,96,96,0.16874999999999998,1.6534055763786453,0,ACTIVO
ES182158502E,96,96,5.625,39.54936954717417,0,ACTIVO
ES182127750P,96,96,9.3375,54.02545452693669,0,ACTIVO
ES182148288B,4,4,0.0,0.0,0,ACTIVO
ES182396806Q,94,94,0.0,0.0,62,MODERADO
ES182436954R,85,85,44.08941176470588,121.99142634152753,0,ACTIVO
ES182245667L,76,76,136.39973684210528,378.46410662738305,0,ACTIVO
ES182258861M,94,94,8.617021276595745,83.54512094696227,0,ACTIVO
ES182384956U,74,74,27.0,225.98660403988436,31,MODERADO
ES182406226A,86,86,29.134883720930233,164.78465788626139,93,POCO_ACTIVO
ES182389414X,96,96,24.575104166666666,193.8309550151737,0,ACTIVO
ES182123158O,33,33,0.0,0.0,62,MODERADO
ES182117156Y,96,96,11.745,73.60753491178382,0,ACTIVO
ES182259560E,11,11,103.48454545454545,321.26874498972467,0,ACTIVO
ES182172934I,77,77,70.93636363636364,244.81204762079642,0,ACTIVO
ES182293499G,95,95,0.0,0.0,31,MODERADO
ES182324557U,28,28,79.07142857142857,407.9511525380739,0,ACTIVO
ES182454217N,82,82,46.31365853658537,207.5780607327301,0,ACTIVO
ES182329511Z,86,86,0.0,0.0,31,MODERADO
ES182445167X,76,76,7.105263157894737,56.00894665375486,0,ACTIVO
ES182435693C,96,96,44.87260416666667,135.98867974748015,0,ACTIVO
ES182347017H,51,51,157.27176470588236,623.7574207196444,0,ACTIVO
ES182152465F,88,88,24.545454545454547,230.25677366405927,0,ACTIVO
ES182317412A,96,96,25.537499999999998,130.35446512853852,0,ACTIVO
ES182139581H,49,49,110.82122448979591,355.8786971335449,0,ACTIVO
ES182381975N,96,96,70.22645833333333,330.4045065385894,0,ACTIVO
ES182149223L,96,96,3.9375,24.142913311319635,0,ACTIVO
ES182175099L,10,10,0.0,0.0,31,MODERADO
ES182330784F,16,16,57.375,141.46041849224116,0,ACTIVO
ES182333960V,27,27,0.0,0.0,0,ACTIVO
ES182408154P,96,96,0.0,0.0,0,ACTIVO
ES182453657A,93,93,2.212258064516129,10.522039822184448,93,POCO_ACTIVO
ES182383763W,38,38,0.0,0.0,31,MODERADO
ES182374722I,93,93,13.064516129032258,92.30382328173826,0,ACTIVO
ES182360549O,22,22,0.0,0.0,31,MODERADO
ES182374504G,96,96,16.03125,110.63781147938244,0,ACTIVO
ES182311975H,25,25,279.9064,642.621480667793,0,ACTIVO
ES182305148H,90,90,72.86277777777778,184.16010519078947,31,MODERADO
ES182278335H,61,61,0.0,0.0,0,ACTIVO
ES182167862R,89,89,12.134831460674157,114.47977104068687,0,ACTIVO
ES182202067P,9,9,187.89666666666668,260.30464752862173,0,ACTIVO
ES182450486X,42,42,107.28380952380952,436.86265070414925,31,MODERADO
ES182447368F,25,25,0.0,0.0,0,ACTIVO
ES182450584A,78,78,107.79205128205129,287.20571622462745,0,ACTIVO
ES182211003Y,76,76,60.39473684210526,287.7704677434138,93,POCO_ACTIVO
ES182183203H,92,92,23.47826086956522,177.44483608120933,0,ACTIVO
ES182105120P,31,31,232.43032258064517,463.22304881834106,0,ACTIVO
ES182201025X,29,29,0.0,0.0,0,ACTIVO
ES182149009A,10,10,0.0,0.0,62,MODERADO
ES182310538L,82,82,27.98780487804878,126.33705788533288,0,ACTIVO
ES182227132O,26,26,138.31269230769232,424.3453421312193,31,MODERADO
ES182334711V,9,9,324.0,228.70450367231513,0,ACTIVO
ES182373837A,17,17,718.5082352941176,595.9728570500852,0,ACTIVO
ES182358647S,23,23,0.0,0.0,0,ACTIVO
ES182190960O,49,49,202.9928571428571,444.8186673709487,31,MODERADO
ES182349067I,11,11,156.82818181818183,268.2857615609961,0,ACTIVO
ES182226347Q,4,4,0.0,0.0,62,MODERADO
ES182355962H,96,96,47.18416666666666,212.32997949649612,0,ACTIVO
ES182313566C,72,72,72.30000000000001,253.351446597326,0,ACTIVO
ES182123068G,83,83,26.609638554216865,237.08575973039993,0,ACTIVO
ES182221965F,11,11,0.0,0.0,0,ACTIVO
ES182163719U,95,95,0.0,0.0,31,MODERADO
ES182169060H,95,95,0.0,0.0,0,ACTIVO
ES182310886M,86,86,64.76581395348836,170.12238883307177,93,POCO_ACTIVO
ES182218726Z,16,16,45.32875,129.87405688460905,0,ACTIVO
ES182380125H,39,39,138.41307692307691,814.469671003789,31,MODERADO
ES182274976D,82,82,0.0,0.0,31,MODERADO
ES182123971Q,27,27,0.0,0.0,31,MODERADO
ES182253175L,24,24,400.5,1117.5381545864648,0,ACTIVO
ES182250789B,11,11,1227.2727272727273,4070.4031517998087,31,MODERADO
ES182245897Q,36,36,168.60583333333332,900.5873942849744,0,ACTIVO
ES182261270P,5,5,0.0,0.0,62,MODERADO
ES182274792Q,11,11,450.1036363636364,771.9170853695716,0,ACTIVO
ES182363662D,31,31,2379.0225806451613,2457.692416205315,0,ACTIVO
ES182107529A,8,8,405.0,803.5457138742726,0,ACTIVO
ES182436977O,14,14,13.307142857142859,49.790769368284664,31,MODERADO
ES182194531F,10,10,429.8,409.5230041564617,0,ACTIVO
ES182283674Q,9,9,240.0,476.2352359916263,0,ACTIVO
ES182181099T,35,35,0.0,0.0,62,MODERADO
ES182194718E,12,12,174.15,459.78838709681537,0,ACTIVO
ES182318944P,76,76,61.38592105263158,188.78012538172644,0,ACTIVO
ES182396465P,77,77,0.0,0.0,62,MODERADO
ES182133326Z,47,47,0.0,0.0,31,MODERADO
ES182231385N,91,91,19.285714285714285,170.25401190993583,31,MODERADO
ES182338054O,9,9,290.7966666666667,501.40633437362953,0,ACTIVO
ES182380711Q,36,36,121.5,429.94600989958195,0,ACTIVO
ES182217920G,96,96,4.584375,11.648567367299993,0,ACTIVO
ES182148130Z,13,13,0.0,0.0,0,ACTIVO
ES182205474U,90,90,77.7,244.04699538215215,0,ACTIVO
ES182206157M,10,10,168.48,342.51876444948243,0,ACTIVO
ES182326140D,31,31,1471.0674193548386,1737.1848964152082,0,ACTIVO
ES182108463B,16,16,349.20625,1054.5281222542148,31,MODERADO
ES182223776S,11,11,844.8981818181819,347.0929191677116,0,ACTIVO
ES182418835G,19,19,0.0,0.0,31,MODERADO
ES182318704E,7,7,0.0,0.0,31,MODERADO
ES182219404G,17,17,0.0,0.0,0,ACTIVO
ES182107239P,43,43,43.95348837209303,288.2222979286228,31,MODERADO
ES182393644O,7,7,0.0,0.0,31,MODERADO
ES182290898U,24,24,207.46583333333334,669.0018777507714,0,ACTIVO
ES182153058Z,8,8,0.0,0.0,31,MODERADO
ES182227787Z,96,96,0.0,0.0,0,ACTIVO
ES182338167E,41,41,0.0,0.0,0,ACTIVO
ES182418475A,9,9,81.6,66.43560792225807,0,ACTIVO
ES182228952R,12,12,0.0,0.0,31,MODERADO
ES182254502K,40,40,244.98825000000002,351.65279920564643,0,ACTIVO
ES182395688U,23,23,532.4478260869565,878.8677995681641,31,MODERADO
ES182121722Y,23,23,0.0,0.0,31,MODERADO
ES182228599Y,8,8,114.75,216.84210845682165,0,ACTIVO
ES182294638G,42,42,483.827380952381,1105.3015022068766,31,MODERADO
ES182165025K,9,9,120.0,261.4651028340111,0,ACTIVO
ES182205049Q,7,7,0.0,0.0,0,ACTIVO
ES182132204K,16,16,101.25,405.0,0,ACTIVO
ES182183552U,19,19,173.42631578947368,362.55738487108687,0,ACTIVO
ES182357983I,6,6,949.9416666666666,310.7734182594558,31,MODERADO
ES182292989N,17,17,0.0,0.0,93,POCO_ACTIVO
ES182406197K,22,22,407.6336363636364,983.8350686909606,31,MODERADO
ES182147220Q,10,10,0.0,0.0,93,POCO_ACTIVO
ES182337722V,10,10,2.7,8.538149682454625,62,MODERADO
ES182292826D,84,84,164.6795238095238,446.64605527615083,0,ACTIVO
ES182412202G,11,11,411.7054545454546,499.92924542106226,0,ACTIVO
ES182323562X,11,11,216.0,449.36955838151744,0,ACTIVO
ES182292593H,23,23,353.3478260869565,1087.0617448673972,0,ACTIVO
ES182395310L,6,6,298.03333333333336,376.1387822422286,0,ACTIVO
ES182431646X,24,24,394.67499999999995,334.08580107251026,0,ACTIVO
ES182228082H,41,41,0.0,0.0,31,MODERADO
ES182398975R,15,15,36.0,139.427400463467,0,ACTIVO
ES182242337E,18,18,278.13166666666666,674.6897135394034,0,ACTIVO
ES182289255D,26,26,0.0,0.0,31,MODERADO
ES182113228J,14,14,276.5921428571429,483.8178066837616,31,MODERADO
ES182229885Z,17,17,109.83294117647057,355.9476362255533,0,ACTIVO
ES182171763F,7,7,103.26285714285714,134.19103381799715,31,MODERADO
ES182255505B,36,36,379.77166666666665,634.6674681054864,0,ACTIVO
ES182109141G,7,7,0.0,0.0,31,MODERADO
ES182229557D,10,10,253.8,526.6653586481648,0,ACTIVO
ES182401008O,14,14,143.10642857142858,427.90271449346886,31,MODERADO
ES182257570G,25,25,1224.072,1219.0489734214946,0,ACTIVO
ES182354607A,28,28,96.27428571428571,509.43563530075676,31,MODERADO
ES182289155Z,10,10,1126.152,981.4687918036134,0,ACTIVO
ES182388287R,4,4,0.0,0.0,31,MODERADO
ES182326749M,10,10,413.294,534.6297042335834,31,MODERADO
ES182211927M,11,11,267.54545454545456,494.3956641469186,0,ACTIVO
ES182361712B,17,17,324.8047058823529,548.3643628911078,31,MODERADO
ES182341819A,17,17,488.71941176470585,725.3814840091952,0,ACTIVO
ES182382751U,14,14,780.6414285714287,1098.6355701845473,0,ACTIVO
ES182183353X,18,18,251.21611111111113,397.95391583831133,0,ACTIVO
ES182189642B,7,7,347.14285714285717,805.7028874573697,0,ACTIVO
ES182178918P,33,33,148.5442424242424,309.22247588740925,0,ACTIVO
ES182405733D,10,10,328.689,376.840075524235,31,MODERADO
ES182137208Q,6,6,0.0,0.0,0,ACTIVO
ES182343370A,29,29,254.9613793103448,682.7946389274227,0,ACTIVO
ES182424642V,8,8,0.0,0.0,0,ACTIVO
ES182205119H,14,14,0.0,0.0,0,ACTIVO
ES182148718Z,10,10,169.96999999999997,363.33792672937403,0,ACTIVO
ES182385362V,8,8,42.73,120.8586910404047,0,ACTIVO
ES182451339L,3,3,1013.11,1386.390104299652,0,ACTIVO
ES182389801S,3,3,0.0,0.0,0,ACTIVO
ES182185776S,42,42,57.857142857142854,202.53919481310297,0,ACTIVO
ES182234870H,9,9,45.0,68.8367634335026,31,MODERADO
ES182422003M,11,11,0.0,0.0,0,ACTIVO
ES182379961U,11,11,0.0,0.0,31,MODERADO
ES182196277D,19,19,0.0,0.0,31,MODERADO
ES182153386R,12,12,299.25,312.6447664682715,0,ACTIVO
ES182386149R,7,7,231.42857142857142,612.3024462749481,0,ACTIVO
ES182114611H,7,7,655.7471428571428,1733.2732055344907,0,ACTIVO
ES182212494U,8,8,303.75,475.98611924538903,0,ACTIVO
ES182155008E,22,22,0.0,0.0,62,MODERADO
ES182237161D,7,7,0.0,0.0,0,ACTIVO
ES182189427K,6,6,420.6266666666667,241.52228374762166,0,ACTIVO
ES182440914A,10,10,0.0,0.0,0,ACTIVO
ES182429223P,7,7,0.0,0.0,31,MODERADO
ES182138935W,7,7,411.9428571428571,654.453224346204,31,MODERADO
ES182135298X,23,23,0.0,0.0,0,ACTIVO
ES182366766K,13,13,124.61538461538461,449.30715894243554,31,MODERADO
ES182111599R,6,6,0.0,0.0,31,MODERADO
ES182387124Y,4,4,0.0,0.0,31,MODERADO
ES182295215L,28,28,0.0,0.0,0,ACTIVO
ES182130766R,96,96,48.037708333333335,167.77903086769666,0,ACTIVO
ES182344193S,42,42,0.0,0.0,0,ACTIVO
ES182186701R,79,79,151.6982278481013,374.6112341627274,0,ACTIVO
ES182416094G,17,17,47.64705882352941,196.45385627942971,31,MODERADO
ES182337433U,95,95,3.4526315789473685,33.652089948393055,31,MODERADO
ES182231923N,96,96,67.78916666666666,178.27483523255037,0,ACTIVO
ES182230432I,89,89,21.296629213483147,143.28364784059863,0,ACTIVO
ES182408164X,94,94,31.02127659574468,105.79702403719574,31,MODERADO
ES182305376D,87,87,15.088965517241379,90.63715156747945,0,ACTIVO
ES182400125P,18,18,0.0,0.0,31,MODERADO
ES182149820J,96,96,21.881250000000005,126.74872141989812,0,ACTIVO
ES182373594J,87,87,18.620689655172413,173.68223064372276,0,ACTIVO
ES182393887Q,94,94,0.6243617021276595,6.053411294292858,62,MODERADO
ES182129620N,83,83,22.44578313253012,150.49627278522576,0,ACTIVO
ES182305945X,89,89,30.883146067415733,165.97462787751837,0,ACTIVO
ES182401778A,96,96,0.0,0.0,0,ACTIVO
ES182238225X,94,94,25.15936170212766,86.92767307264559,0,ACTIVO
ES182422178T,40,40,1228.2270000000003,3386.4858786700697,0,ACTIVO
ES182140739N,16,16,165.778125,188.86026920164193,0,ACTIVO
ES182372629S,9,9,0.0,0.0,0,ACTIVO
ES182141182S,80,80,11.536375,103.18447485571656,0,ACTIVO
ES182331326N,87,87,51.08275862068965,178.58736784860295,31,MODERADO
ES182210798Z,20,20,0.0,0.0,31,MODERADO
ES182101483K,96,96,0.1125,1.1022703842524304,0,ACTIVO
ES182360286M,96,96,7.59375,47.77239417003131,0,ACTIVO
ES182200642A,29,29,0.0,0.0,62,MODERADO
ES182239371Y,21,21,169.71428571428572,565.9152889662147,0,ACTIVO
